benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
20Nov_1,ok,3,0.51,1,1,26,3,2,3,true,true
20Nov_2,ok,1,0.19,1,0,8,1,1,2,true,true
20Nov_3,ok,1,0.19,1,0,8,1,1,2,true,true
20Nov_4,ok,1,0.48,1,0,24,2,2,2,true,true
Ada1_1,ok,3,0.97,1,3,24,4,2,9,false,false
Ada1_2,ok,2,1.02,1,2,16,2,0,10,false,false
Ada1_3,ok,3,1.19,1,5,24,5,2,13,false,false
Ada1_4,ok,3,2.36,1,4,32,4,2,14,false,false
Ada3_1,ok,2,0.85,1,4,7,4,0,8,false,true
Ada3_2,ok,2,1.18,1,4,9,4,0,9,false,true
Ada3_3,ok,2,1.3,1,4,9,4,0,11,false,true
Ada3_4,ok,2,1.49,1,4,11,4,0,11,false,true
Ada3_5,ok,2,1.46,1,4,11,4,0,11,false,true
AggregationQuerySuite_1,ok,2,2.0,4,6,24,6,0,20,false,false
AggregationQuerySuite_2,ok,3,1.2,5,5,24,6,1,12,false,false
AggregationQuerySuite_3,ok,3,4.72,5,7,32,8,1,37,false,false
AggregationQuerySuite_4,ok,3,0.95,7,1,24,6,5,2,false,false
AggregationQuerySuite_5,ok,2,1.5,4,6,24,6,0,16,false,false
AggregationQuerySuite_6,ok,3,2.35,13,16,40,32,16,17,false,false
AggregationQuerySuite_7,ok,3,0.98,5,5,32,6,1,6,false,false
AggregationQuerySuite_8,ok,3,1.14,5,5,32,6,1,6,false,false
AggregationQuerySuite_9,ok,3,4.37,5,7,32,8,1,35,false,false
Basket_1,ok,1,0.25,2,0,8,1,1,2,false,false
Basket_2,ok,2,0.27,1,1,7,1,0,3,false,false
Basket_3,ok,1,0.19,1,0,8,1,1,2,false,false
Basket_4,ok,3,0.43,1,2,13,2,1,3,false,false
Chicago_1,ok,2,0.53,1,2,9,2,2,6,false,false
Chicago_2,ok,1,0.24,1,0,9,1,0,2,false,false
Chicago_3,ok,2,0.21,1,1,9,1,0,2,false,false
DurationMin_1,ok,3,1.33,2,3,24,4,1,7,false,false
DurationMin_2,ok,3,5.98,3,5,71,7,2,23,false,false
DurationMin_3,ok,3,3.31,2,3,54,6,3,8,false,false
DurationMin_4,ok,3,2.58,2,3,42,6,3,11,false,false
DurationMin_5,ok,3,8.71,2,5,93,7,2,34,false,false
DurationMin_6,ok,3,4.22,2,3,66,8,5,10,false,false
DurationMin_7,ok,3,5.91,2,5,66,8,3,24,false,false
EventAggregationUdf_1,ok,3,3.2,1,3,27,4,1,6,false,false
EventAggregationUdf_2,ok,3,5.66,1,5,39,6,3,24,false,false
EventAggregationUdf_3,ok,3,4.59,1,4,41,6,3,13,false,false
EventAggregationUdf_4,ok,3,4.35,1,3,43,6,3,8,false,false
EventAggregationUdf_5,ok,3,10.17,1,5,37,6,1,52,false,false
EventAggregationUdf_6,ok,3,4.29,1,3,40,5,2,8,false,false
EventAggregationUdf_7,ok,3,8.33,1,4,49,5,1,27,false,false
EventAggregationUdf_8,ok,3,7.7,1,4,50,5,1,26,false,false
EventAggregationUdf_9,ok,3,19.53,1,6,71,7,2,68,false,false
Flaredown1_1,ok,1,0.24,1,0,9,1,0,2,false,false
Flaredown1_2,ok,2,0.53,1,2,9,2,2,6,false,false
Flaredown1_3,ok,2,0.21,1,1,9,1,0,2,false,false
Flaredown1_4,ok,2,0.21,1,1,9,1,0,2,false,false
HighLowAggregator_1,ok,2,1.38,2,8,23,8,0,20,false,false
HighLowAggregator_2,ok,2,2.84,3,16,29,16,0,43,false,false
HighLowAggregator_3,ok,2,1.61,2,3,29,8,5,9,false,false
HighLowAggregator_4,ok,2,2.02,3,3,29,8,5,11,false,false
HighLowAggregator_5,ok,2,1.15,3,3,29,8,5,5,false,false
HighLowAggregator_6,ok,2,1.53,3,4,33,8,4,7,false,false
HighLowAggregator_7,ok,2,1.23,3,3,29,8,5,6,false,false
HighLowAggregator_8,ok,2,0.78,2,1,29,16,15,2,false,false
Jdata_1,ok,1,0.19,1,0,8,1,1,2,true,true
Jdata_2,ok,1,0.19,1,0,8,1,1,2,true,true
Jdata_3,ok,3,0.37,1,1,18,2,1,3,true,true
KeepRowWithMaxAge_1,ok,3,0.86,1,1,24,1,1,2,false,false
KeepRowWithMaxAge_2,ok,3,0.75,1,1,13,1,1,6,false,false
KeepRowWithMaxAge_3,ok,3,1.08,2,1,19,2,1,2,false,false
KeepRowWithMaxAge_4,ok,3,2.27,2,2,25,3,1,13,false,false
KeepRowWithMaxAge_5,ok,3,1.69,2,2,27,3,1,3,false,false
KeepRowWithMaxAge_6,ok,3,1.45,2,1,27,2,1,2,false,false
KeepRowWithMaxAge_7,ok,3,1.86,2,2,31,3,1,4,false,false
KeepRowWithMaxAge_8,ok,3,2.22,2,3,31,3,1,8,false,false
KeepRowWithMaxAge_9,ok,3,3.64,2,4,45,4,1,11,false,false
KeepRowWithMaxQuality_1,ok,3,0.89,1,1,16,1,1,2,false,false
KeepRowWithMaxQuality_2,ok,3,0.88,1,1,13,1,1,2,false,false
KeepRowWithMaxQuality_3,ok,3,2.14,2,2,24,3,2,7,false,false
KeepRowWithMaxQuality_4,ok,3,1.98,2,2,24,3,2,10,false,false
KeepRowWithMaxQuality_5,ok,3,3.83,2,3,46,7,4,20,false,false
KeepRowWithMaxQuality_6,ok,3,5.51,2,3,35,5,3,38,false,false
KeepRowWithMaxQuality_7,ok,3,2.42,2,2,35,5,3,9,false,false
KeepRowWithMaxQuality_8,ok,3,21.54,2,4,57,9,5,148,false,false
KeepRowWithMaxQuality_9,ok,3,7.21,2,4,68,13,10,35,false,false
MinPooling_1,ok,2,4.45,4,6,10,6,0,32,false,true
MinPooling_2,ok,2,4.17,4,6,10,6,0,27,false,true
MinPooling_3,ok,2,1.73,4,8,30,8,0,15,false,true
MinPooling_4,ok,2,5.66,4,6,16,6,0,33,false,true
MinPooling_5,ok,2,1.28,3,3,22,6,3,8,false,true
MinPooling_6,ok,2,4.55,4,27,34,27,0,49,false,true
MinPooling_7,ok,2,7.88,4,27,46,27,0,53,false,true
MyAvg_1,ok,3,1.96,2,4,46,5,1,11,false,false
MyAvg_2,ok,3,1.9,2,4,53,5,1,6,false,false
MyAvg_3,ok,3,2.37,2,1,60,4,3,2,false,false
MyAvg_4,ok,3,3.78,2,5,69,6,1,19,false,false
MyAvg_5,ok,3,2.06,1,4,53,5,1,14,false,false
PointAttributionScalaUdaf_1,ok,2,0.58,3,2,12,2,0,4,false,false
PointAttributionScalaUdaf_2,ok,2,1.05,3,3,22,3,0,4,false,false
PointAttributionScalaUdaf_3,ok,2,0.99,3,2,22,2,0,3,false,false
PointAttributionScalaUdaf_4,ok,2,1.25,4,3,22,4,1,6,false,false
PreprocCSVTable_1,ok,2,1.55,2,3,22,3,0,6,false,false
PreprocCSVTable_2,ok,3,0.62,2,2,20,3,1,3,false,false
PreprocCSVTable_3,ok,1,0.49,2,0,24,2,2,2,false,false
PreprocCSVTable_4,ok,2,0.94,2,2,17,2,0,3,false,false
ReturnPriceAggregator_1,ok,3,5.89,2,4,25,6,2,24,false,false
ReturnPriceAggregator_2,ok,3,9.92,2,4,24,6,2,44,false,false
ReturnPriceAggregator_3,ok,3,7.68,2,5,23,6,1,15,false,false
ReturnPriceAggregator_4,ok,3,23.22,2,5,33,6,1,115,false,false
ReturnPriceAggregator_5,ok,2,7.55,3,5,33,5,0,33,false,false
ReturnPriceAggregator_6,ok,3,10.01,2,5,23,6,1,37,false,false
ReturnPriceAggregator_7,ok,3,116.5,2,6,42,8,2,444,false,false
ReturnPriceAggregator_8,ok,3,26.96,2,6,49,8,2,123,false,false
ReturnPriceAggregator_9,ok,2,11.66,4,8,49,8,0,37,false,false
RoaringBitmapUDAF_1,ok,3,3.01,1,3,22,3,3,20,false,false
RoaringBitmapUDAF_2,ok,3,0.62,1,1,30,3,3,2,false,false
RoaringBitmapUDAF_3,ok,3,2.45,1,3,30,4,4,18,false,false
RoaringBitmapUDAF_4,ok,3,0.94,1,2,28,3,3,6,false,false
RoaringBitmapUDAF_5,ok,3,0.51,1,1,26,3,2,3,false,false
SnapshotAggregator_1,ok,3,1.79,3,4,22,6,3,6,false,false
SnapshotAggregator_2,ok,3,6.21,3,6,69,7,2,19,false,false
SnapshotAggregator_3,ok,3,1.73,3,3,27,4,2,6,false,false
SnapshotAggregator_4,ok,3,1.76,3,3,29,5,3,4,false,false
SnapshotAggregator_5,ok,3,3.23,3,3,53,4,2,8,false,false
SnapshotAggregator_6,ok,3,4.59,3,4,67,5,2,6,false,false
SparkDataFrameUDFApp_1,ok,2,0.95,2,2,13,2,0,10,false,false
SparkDataFrameUDFApp_2,ok,2,1.42,3,3,23,3,0,10,false,false
SparkDataFrameUDFApp_3,ok,2,1.6,3,3,18,3,0,15,false,false
SparkDataFrameUDFApp_4,ok,2,4.07,3,4,23,4,0,35,false,false
SparkDataFrameUDFApp_5,ok,2,1.02,5,4,23,4,0,8,false,false
SparkDataFrameUDFApp_6,ok,2,1.01,3,2,28,3,1,4,false,false
TPCHUDAF_1,ok,2,1.15,1,3,22,4,1,4,false,false
TPCHUDAF_2,ok,3,1.75,1,3,28,3,1,4,false,false
TPCHUDAF_3,ok,1,0.17,1,0,10,1,1,1,false,false
Top2_1,ok,3,1.23,1,1,25,4,3,2,false,false
Top2_2,ok,3,1.57,1,3,25,4,1,8,false,false
Top2_3,ok,3,4.18,2,3,31,5,2,6,false,false
Top2_4,ok,3,2.99,3,2,55,4,2,5,false,false
Top2_5,ok,3,3.7,2,3,46,4,1,7,false,false
Top2_6,ok,3,3.28,3,3,53,5,2,6,false,false
Top2_7,ok,3,3.37,3,3,53,5,2,6,false,false
Top2_8,ok,3,5.06,2,3,70,7,4,6,false,false
Top2_9,ok,3,4.94,2,4,47,6,2,9,false,false
UDAF2_1,ok,2,0.98,4,3,17,3,0,7,false,true
UDAF2_2,ok,3,0.75,5,3,18,3,1,4,false,true
UDAF2_3,ok,2,0.69,4,2,18,2,0,3,false,true
UDAF2_4,ok,3,0.97,5,3,23,3,1,5,false,true
UDAF2_5,ok,3,0.74,5,2,18,2,1,4,false,true
UDAF2_6,ok,3,1.29,5,4,29,5,2,5,false,true
UDAF_1,ok,2,0.57,4,2,12,2,0,5,false,true
UDAF_2,ok,3,0.71,3,2,18,2,1,3,false,true
UDAF_3,ok,3,0.83,3,2,23,3,2,3,false,true
UDAF_4,ok,2,0.8,3,1,23,2,1,2,false,true
UserDefinedAggregationFunctionTest_1,ok,2,2.0,1,4,11,4,0,11,false,false
UserDefinedAggregationFunctionTest_2,ok,2,1.37,1,4,7,4,0,11,false,false
UserDefinedAggregationFunctionTest_3,ok,2,2.08,1,4,11,4,0,12,false,false
UserDefinedAggregationFunctionTest_4,ok,2,2.54,1,4,15,4,0,9,false,false
