benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
20Nov_1,ok,4.0,1.05,1.0,1.0,2.0,3.0,3.0,0.0,,
20Nov_2,ok,2.0,0.68,1.0,1.0,1.0,1.0,1.0,0.0,,
20Nov_3,ok,4.0,0.68,1.0,1.0,1.0,1.0,1.0,0.0,,
20Nov_4,ok,4.0,0.78,1.0,1.0,1.0,2.0,2.0,0.0,,
Ada1_1,ok,2.0,4.53,1.0,1.0,1.0,4.0,4.0,0.0,,
Ada1_2,none,,,,,,,,,,
Ada1_3,none,,,,,,,,,,
Ada1_4,none,,,,,,,,,,
Ada3_1,ok,2.0,15.37,1.0,2.0,1.0,4.0,4.0,0.0,,
Ada3_2,ok,2.0,16.31,1.0,1.0,1.0,4.0,4.0,0.0,,
Ada3_3,ok,2.0,15.53,1.0,1.0,1.0,4.0,4.0,0.0,,
Ada3_4,ok,3.0,16.56,1.0,1.0,1.0,4.0,4.0,0.0,,
Ada3_5,ok,3.0,22.45,1.0,1.0,1.0,4.0,4.0,0.0,,
AggregationQuerySuite_1,timeout,,,,,,,,,,
AggregationQuerySuite_2,ok,3.0,98.67,5.0,2.0,2.0,6.0,6.0,0.0,,
AggregationQuerySuite_3,none,,,,,,,,,,
AggregationQuerySuite_4,ok,4.0,1.11,7.0,1.0,2.0,6.0,6.0,0.0,,
AggregationQuerySuite_5,none,,,,,,,,,,
AggregationQuerySuite_6,ok,5.0,1.54,13.0,1.0,2.0,32.0,32.0,0.0,,
AggregationQuerySuite_7,ok,2.0,190.67,5.0,2.0,2.0,6.0,6.0,0.0,,
AggregationQuerySuite_8,ok,2.0,197.93,5.0,2.0,2.0,6.0,6.0,0.0,,
AggregationQuerySuite_9,none,,,,,,,,,,
Basket_1,ok,2.0,1.46,2.0,1.0,2.0,1.0,1.0,0.0,,
Basket_2,ok,2.0,0.85,1.0,1.0,2.0,1.0,1.0,0.0,,
Basket_3,ok,2.0,0.83,1.0,1.0,2.0,1.0,1.0,0.0,,
Basket_4,ok,2.0,9.41,1.0,2.0,2.0,2.0,2.0,0.0,,
Chicago_1,ok,2.0,0.96,1.0,2.0,1.0,2.0,2.0,0.0,,
Chicago_2,ok,1.0,1.02,1.0,0.0,1.0,1.0,1.0,0.0,,
Chicago_3,ok,2.0,0.92,1.0,1.0,1.0,1.0,1.0,0.0,,
DurationMin_1,ok,5.0,16.84,2.0,2.0,1.0,4.0,4.0,0.0,,
DurationMin_2,timeout,,,,,,,,,,
DurationMin_3,ok,3.0,32.27,2.0,1.0,1.0,6.0,6.0,0.0,,
DurationMin_4,ok,3.0,31.75,2.0,2.0,1.0,6.0,6.0,0.0,,
DurationMin_5,ok,3.0,110.34,2.0,1.0,1.0,7.0,7.0,0.0,,
DurationMin_6,ok,5.0,63.16,2.0,1.0,1.0,8.0,8.0,0.0,,
DurationMin_7,ok,3.0,460.24,2.0,2.0,1.0,8.0,8.0,0.0,,
EventAggregationUdf_1,none,,,,,,,,,,
EventAggregationUdf_2,none,,,,,,,,,,
EventAggregationUdf_3,none,,,,,,,,,,
EventAggregationUdf_4,none,,,,,,,,,,
EventAggregationUdf_5,none,,,,,,,,,,
EventAggregationUdf_6,none,,,,,,,,,,
EventAggregationUdf_7,none,,,,,,,,,,
EventAggregationUdf_8,none,,,,,,,,,,
EventAggregationUdf_9,none,,,,,,,,,,
Flaredown1_1,ok,1.0,1.02,1.0,0.0,1.0,1.0,1.0,0.0,,
Flaredown1_2,ok,2.0,0.97,1.0,2.0,1.0,2.0,2.0,0.0,,
Flaredown1_3,ok,2.0,0.93,1.0,1.0,1.0,1.0,1.0,0.0,,
Flaredown1_4,ok,2.0,0.92,1.0,1.0,1.0,1.0,1.0,0.0,,
HighLowAggregator_1,ok,5.0,4.6,2.0,2.0,2.0,8.0,8.0,0.0,,
HighLowAggregator_2,ok,4.0,1.15,3.0,2.0,2.0,16.0,16.0,0.0,,
HighLowAggregator_3,ok,4.0,240.41,2.0,2.0,2.0,8.0,8.0,0.0,,
HighLowAggregator_4,ok,4.0,61.1,3.0,2.0,2.0,8.0,8.0,0.0,,
HighLowAggregator_5,ok,4.0,61.62,3.0,2.0,2.0,8.0,8.0,0.0,,
HighLowAggregator_6,timeout,,,,,,,,,,
HighLowAggregator_7,ok,4.0,64.08,3.0,2.0,2.0,8.0,8.0,0.0,,
HighLowAggregator_8,ok,4.0,4.9,2.0,2.0,2.0,16.0,16.0,0.0,,
Jdata_1,ok,2.0,0.7,1.0,1.0,1.0,1.0,1.0,0.0,,
Jdata_2,ok,4.0,0.71,1.0,1.0,1.0,1.0,1.0,0.0,,
Jdata_3,ok,4.0,0.65,1.0,1.0,2.0,2.0,2.0,0.0,,
KeepRowWithMaxAge_1,ok,4.0,0.9,1.0,1.0,2.0,1.0,1.0,0.0,,
KeepRowWithMaxAge_2,ok,2.0,1.03,1.0,1.0,1.0,1.0,1.0,0.0,,
KeepRowWithMaxAge_3,ok,3.0,3.17,2.0,2.0,1.0,2.0,2.0,0.0,,
KeepRowWithMaxAge_4,ok,3.0,14.36,2.0,2.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxAge_5,ok,3.0,15.06,2.0,2.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxAge_6,ok,2.0,5.59,2.0,1.0,1.0,2.0,2.0,0.0,,
KeepRowWithMaxAge_7,ok,3.0,13.35,2.0,1.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxAge_8,ok,2.0,27.23,2.0,1.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxAge_9,none,,,,,,,,,,
KeepRowWithMaxQuality_1,ok,4.0,1.89,1.0,1.0,2.0,1.0,1.0,0.0,,
KeepRowWithMaxQuality_2,ok,5.0,2.36,1.0,2.0,1.0,1.0,1.0,0.0,,
KeepRowWithMaxQuality_3,ok,5.0,11.31,2.0,2.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxQuality_4,ok,5.0,10.69,2.0,2.0,1.0,3.0,3.0,0.0,,
KeepRowWithMaxQuality_5,none,,,,,,,,,,
KeepRowWithMaxQuality_6,none,,,,,,,,,,
KeepRowWithMaxQuality_7,ok,5.0,26.91,2.0,1.0,1.0,5.0,5.0,0.0,,
KeepRowWithMaxQuality_8,none,,,,,,,,,,
KeepRowWithMaxQuality_9,none,,,,,,,,,,
MinPooling_1,none,,,,,,,,,,
MinPooling_2,none,,,,,,,,,,
MinPooling_3,none,,,,,,,,,,
MinPooling_4,none,,,,,,,,,,
MinPooling_5,none,,,,,,,,,,
MinPooling_6,none,,,,,,,,,,
MinPooling_7,none,,,,,,,,,,
MyAvg_1,none,,,,,,,,,,
MyAvg_2,none,,,,,,,,,,
MyAvg_3,ok,5.0,29.6,2.0,2.0,1.0,4.0,4.0,0.0,,
MyAvg_4,none,,,,,,,,,,
MyAvg_5,none,,,,,,,,,,
PointAttributionScalaUdaf_1,none,,,,,,,,,,
PointAttributionScalaUdaf_2,none,,,,,,,,,,
PointAttributionScalaUdaf_3,none,,,,,,,,,,
PointAttributionScalaUdaf_4,none,,,,,,,,,,
PreprocCSVTable_1,none,,,,,,,,,,
PreprocCSVTable_2,none,,,,,,,,,,
PreprocCSVTable_3,ok,4.0,1.09,2.0,1.0,1.0,2.0,2.0,0.0,,
PreprocCSVTable_4,none,,,,,,,,,,
ReturnPriceAggregator_1,none,,,,,,,,,,
ReturnPriceAggregator_2,none,,,,,,,,,,
ReturnPriceAggregator_3,timeout,,,,,,,,,,
ReturnPriceAggregator_4,none,,,,,,,,,,
ReturnPriceAggregator_5,none,,,,,,,,,,
ReturnPriceAggregator_6,timeout,,,,,,,,,,
ReturnPriceAggregator_7,none,,,,,,,,,,
ReturnPriceAggregator_8,none,,,,,,,,,,
ReturnPriceAggregator_9,none,,,,,,,,,,
RoaringBitmapUDAF_1,ok,2.0,1.36,1.0,2.0,1.0,3.0,3.0,0.0,,
RoaringBitmapUDAF_2,ok,4.0,1.33,1.0,2.0,1.0,3.0,3.0,0.0,,
RoaringBitmapUDAF_3,ok,4.0,1.42,1.0,2.0,1.0,4.0,4.0,0.0,,
RoaringBitmapUDAF_4,ok,4.0,1.4,1.0,1.0,1.0,3.0,3.0,0.0,,
RoaringBitmapUDAF_5,ok,4.0,1.23,1.0,2.0,1.0,3.0,3.0,0.0,,
SnapshotAggregator_1,ok,5.0,352.12,3.0,1.0,1.0,6.0,6.0,0.0,,
SnapshotAggregator_2,timeout,,,,,,,,,,
SnapshotAggregator_3,ok,3.0,11.01,3.0,2.0,1.0,4.0,4.0,0.0,,
SnapshotAggregator_4,ok,3.0,8.62,3.0,2.0,1.0,5.0,5.0,0.0,,
SnapshotAggregator_5,ok,3.0,14.87,3.0,1.0,1.0,4.0,4.0,0.0,,
SnapshotAggregator_6,ok,3.0,61.73,3.0,1.0,1.0,5.0,5.0,0.0,,
SparkDataFrameUDFApp_1,ok,2.0,31.49,2.0,2.0,2.0,2.0,2.0,0.0,,
SparkDataFrameUDFApp_2,ok,2.0,289.68,3.0,1.0,2.0,3.0,3.0,0.0,,
SparkDataFrameUDFApp_3,ok,2.0,40.75,3.0,2.0,2.0,3.0,3.0,0.0,,
SparkDataFrameUDFApp_4,ok,2.0,416.5,3.0,2.0,2.0,4.0,4.0,0.0,,
SparkDataFrameUDFApp_5,ok,2.0,42.13,5.0,1.0,2.0,4.0,4.0,0.0,,
SparkDataFrameUDFApp_6,ok,2.0,145.19,3.0,1.0,2.0,3.0,3.0,0.0,,
TPCHUDAF_1,none,,,,,,,,,,
TPCHUDAF_2,none,,,,,,,,,,
TPCHUDAF_3,ok,2.0,0.78,1.0,1.0,2.0,1.0,1.0,0.0,,
Top2_1,ok,3.0,5.3,1.0,2.0,1.0,4.0,4.0,0.0,,
Top2_2,none,,,,,,,,,,
Top2_3,ok,3.0,13.58,3.0,2.0,1.0,5.0,5.0,0.0,,
Top2_4,none,,,,,,,,,,
Top2_5,ok,4.0,9.05,3.0,1.0,1.0,4.0,4.0,0.0,,
Top2_6,ok,5.0,15.34,3.0,1.0,1.0,5.0,5.0,0.0,,
Top2_7,none,,,,,,,,,,
Top2_8,ok,3.0,35.14,2.0,2.0,1.0,7.0,7.0,0.0,,
Top2_9,ok,3.0,47.34,3.0,2.0,1.0,6.0,6.0,0.0,,
UDAF2_1,ok,2.0,373.7,4.0,2.0,2.0,3.0,3.0,0.0,,
UDAF2_2,ok,2.0,67.56,5.0,2.0,1.0,3.0,3.0,0.0,,
UDAF2_3,ok,4.0,56.92,4.0,1.0,1.0,2.0,2.0,0.0,,
UDAF2_4,ok,2.0,107.4,5.0,1.0,1.0,3.0,3.0,0.0,,
UDAF2_5,ok,4.0,17.25,5.0,2.0,1.0,2.0,2.0,0.0,,
UDAF2_6,timeout,,,,,,,,,,
UDAF_1,ok,2.0,7.37,4.0,2.0,2.0,2.0,2.0,0.0,,
UDAF_2,ok,2.0,8.88,3.0,1.0,1.0,2.0,2.0,0.0,,
UDAF_3,ok,2.0,6.47,3.0,2.0,1.0,3.0,3.0,0.0,,
UDAF_4,ok,4.0,55.47,3.0,2.0,2.0,2.0,2.0,0.0,,
UserDefinedAggregationFunctionTest_1,none,,,,,,,,,,
UserDefinedAggregationFunctionTest_2,none,,,,,,,,,,
UserDefinedAggregationFunctionTest_3,none,,,,,,,,,,
UserDefinedAggregationFunctionTest_4,none,,,,,,,,,,
