benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
20Nov_1,ok,3.0,0.65,1.0,1.0,26.0,3.0,2.0,5.0,,
20Nov_2,ok,1.0,0.18,1.0,0.0,8.0,1.0,1.0,3.0,,
20Nov_3,ok,1.0,0.18,1.0,0.0,8.0,1.0,1.0,3.0,,
20Nov_4,ok,1.0,0.51,1.0,0.0,24.0,2.0,2.0,4.0,,
Ada1_1,ok,3.0,7.76,1.0,3.0,24.0,4.0,2.0,38.0,,
Ada1_2,ok,2.0,1.58,1.0,2.0,16.0,2.0,0.0,14.0,,
Ada1_3,ok,3.0,28.25,1.0,5.0,24.0,5.0,2.0,103.0,,
Ada1_4,ok,3.0,10.29,1.0,4.0,32.0,4.0,2.0,45.0,,
Ada3_1,ok,2.0,2.26,1.0,4.0,7.0,4.0,0.0,17.0,,
Ada3_2,ok,2.0,2.59,1.0,4.0,9.0,4.0,0.0,17.0,,
Ada3_3,ok,2.0,2.58,1.0,4.0,9.0,4.0,0.0,17.0,,
Ada3_4,ok,2.0,2.91,1.0,4.0,11.0,4.0,0.0,17.0,,
Ada3_5,ok,2.0,2.9,1.0,4.0,11.0,4.0,0.0,17.0,,
AggregationQuerySuite_1,ok,2.0,205.97,4.0,6.0,24.0,6.0,0.0,123.0,,
AggregationQuerySuite_2,ok,3.0,19.39,5.0,5.0,24.0,6.0,1.0,64.0,,
AggregationQuerySuite_3,ok,3.0,520.82,5.0,7.0,32.0,8.0,1.0,256.0,,
AggregationQuerySuite_4,ok,3.0,1.37,7.0,1.0,24.0,6.0,5.0,6.0,,
AggregationQuerySuite_5,ok,2.0,200.94,4.0,6.0,24.0,6.0,0.0,122.0,,
AggregationQuerySuite_6,timeout,,,,,,,,,,
AggregationQuerySuite_7,ok,3.0,21.3,5.0,5.0,32.0,6.0,1.0,62.0,,
AggregationQuerySuite_8,ok,3.0,21.92,5.0,5.0,32.0,6.0,1.0,62.0,,
AggregationQuerySuite_9,ok,3.0,513.54,5.0,7.0,32.0,8.0,1.0,254.0,,
Basket_1,ok,1.0,0.23,2.0,0.0,8.0,1.0,1.0,3.0,,
Basket_2,ok,2.0,0.25,1.0,1.0,7.0,1.0,0.0,4.0,,
Basket_3,ok,1.0,0.18,1.0,0.0,8.0,1.0,1.0,3.0,,
Basket_4,ok,3.0,0.61,1.0,2.0,13.0,2.0,1.0,7.0,,
Chicago_1,ok,2.0,0.73,1.0,2.0,9.0,2.0,2.0,9.0,,
Chicago_2,ok,1.0,0.22,1.0,0.0,9.0,1.0,0.0,3.0,,
Chicago_3,ok,2.0,0.21,1.0,1.0,9.0,1.0,0.0,3.0,,
DurationMin_1,ok,3.0,7.02,2.0,3.0,24.0,4.0,1.0,27.0,,
DurationMin_2,ok,3.0,359.12,3.0,5.0,71.0,7.0,2.0,175.0,,
DurationMin_3,ok,3.0,11.69,2.0,3.0,54.0,6.0,3.0,28.0,,
DurationMin_4,ok,3.0,9.95,2.0,3.0,42.0,6.0,3.0,28.0,,
DurationMin_5,ok,3.0,62.18,2.0,5.0,93.0,7.0,2.0,101.0,,
DurationMin_6,ok,3.0,29.83,2.0,3.0,66.0,8.0,5.0,64.0,,
DurationMin_7,ok,3.0,161.64,2.0,5.0,66.0,8.0,3.0,167.0,,
EventAggregationUdf_1,ok,3.0,40.2,1.0,3.0,27.0,4.0,1.0,26.0,,
EventAggregationUdf_2,ok,3.0,102.56,1.0,5.0,39.0,6.0,3.0,169.0,,
EventAggregationUdf_3,ok,3.0,75.1,1.0,4.0,41.0,6.0,3.0,96.0,,
EventAggregationUdf_4,ok,3.0,55.36,1.0,3.0,43.0,6.0,3.0,41.0,,
EventAggregationUdf_5,ok,3.0,116.67,1.0,5.0,37.0,6.0,1.0,194.0,,
EventAggregationUdf_6,ok,3.0,54.85,1.0,3.0,40.0,5.0,2.0,42.0,,
EventAggregationUdf_7,ok,3.0,68.7,1.0,4.0,49.0,5.0,1.0,68.0,,
EventAggregationUdf_8,ok,3.0,84.18,1.0,4.0,50.0,5.0,1.0,68.0,,
EventAggregationUdf_9,ok,3.0,263.52,1.0,6.0,71.0,7.0,2.0,410.0,,
Flaredown1_1,ok,1.0,0.22,1.0,0.0,9.0,1.0,0.0,3.0,,
Flaredown1_2,ok,2.0,0.73,1.0,2.0,9.0,2.0,2.0,9.0,,
Flaredown1_3,ok,2.0,0.21,1.0,1.0,9.0,1.0,0.0,3.0,,
Flaredown1_4,ok,2.0,0.22,1.0,1.0,9.0,1.0,0.0,3.0,,
HighLowAggregator_1,timeout,,,,,,,,,,
HighLowAggregator_2,timeout,,,,,,,,,,
HighLowAggregator_3,ok,2.0,178.61,2.0,3.0,29.0,8.0,5.0,429.0,,
HighLowAggregator_4,ok,2.0,225.04,3.0,4.0,29.0,8.0,4.0,595.0,,
HighLowAggregator_5,ok,2.0,153.8,3.0,3.0,29.0,8.0,5.0,412.0,,
