benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
20Nov_1,ok,3.0,0.59,1.0,1.0,26.0,3.0,2.0,4.0,,
20Nov_2,ok,1.0,0.21,1.0,0.0,8.0,1.0,1.0,3.0,,
20Nov_3,ok,1.0,0.21,1.0,0.0,8.0,1.0,1.0,3.0,,
20Nov_4,ok,1.0,0.56,1.0,0.0,24.0,2.0,2.0,3.0,,
Ada1_1,ok,3.0,1.68,1.0,3.0,24.0,4.0,2.0,11.0,,
Ada1_2,ok,2.0,1.4,1.0,2.0,16.0,2.0,0.0,12.0,,
Ada1_3,ok,3.0,1.92,1.0,5.0,24.0,5.0,2.0,15.0,,
Ada1_4,ok,3.0,4.02,1.0,4.0,32.0,4.0,2.0,16.0,,
Ada3_1,ok,2.0,1.81,1.0,4.0,7.0,4.0,0.0,16.0,,
Ada3_2,ok,2.0,2.26,1.0,4.0,9.0,4.0,0.0,17.0,,
Ada3_3,ok,2.0,2.23,1.0,4.0,9.0,4.0,0.0,17.0,,
Ada3_4,ok,2.0,2.48,1.0,4.0,11.0,4.0,0.0,14.0,,
Ada3_5,ok,2.0,2.51,1.0,4.0,11.0,4.0,0.0,15.0,,
AggregationQuerySuite_1,ok,2.0,331.52,4.0,6.0,24.0,6.0,0.0,171.0,,
AggregationQuerySuite_2,ok,3.0,11.43,5.0,5.0,24.0,6.0,1.0,32.0,,
AggregationQuerySuite_3,timeout,,,,,,,,,,
AggregationQuerySuite_4,ok,3.0,0.79,7.0,1.0,24.0,6.0,5.0,3.0,,
AggregationQuerySuite_5,ok,2.0,337.13,4.0,6.0,24.0,6.0,0.0,174.0,,
AggregationQuerySuite_6,ok,3.0,2.62,13.0,16.0,40.0,32.0,16.0,18.0,,
AggregationQuerySuite_7,ok,3.0,14.41,5.0,5.0,32.0,6.0,1.0,30.0,,
AggregationQuerySuite_8,ok,3.0,14.4,5.0,5.0,32.0,6.0,1.0,31.0,,
AggregationQuerySuite_9,timeout,,,,,,,,,,
Basket_1,ok,1.0,0.34,2.0,0.0,8.0,1.0,1.0,4.0,,
