benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
20Nov_1,ok,2.0,0.15,1.0,3.0,1.0,3.0,3.0,0.0,,
20Nov_2,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
20Nov_3,ok,2.0,0.05,1.0,1.0,1.0,1.0,1.0,0.0,,
20Nov_4,ok,2.0,0.14,1.0,1.0,1.0,2.0,2.0,0.0,,
Ada1_1,ok,2.0,0.15,1.0,4.0,1.0,4.0,4.0,0.0,,
Ada1_2,ok,2.0,0.13,1.0,2.0,1.0,2.0,2.0,0.0,,
Ada1_3,ok,2.0,0.18,1.0,5.0,1.0,5.0,5.0,0.0,,
Ada1_4,ok,2.0,0.24,1.0,1.0,1.0,4.0,4.0,0.0,,
Ada3_1,none,,,,,,,,,,
Ada3_2,none,,,,,,,,,,
Ada3_3,none,,,,,,,,,,
Ada3_4,none,,,,,,,,,,
Ada3_5,none,,,,,,,,,,
AggregationQuerySuite_1,none,,,,,,,,,,
AggregationQuerySuite_2,ok,4.0,1.08,5.0,1.0,1.0,6.0,6.0,0.0,,
AggregationQuerySuite_3,none,,,,,,,,,,
AggregationQuerySuite_4,ok,4.0,0.18,7.0,1.0,1.0,6.0,6.0,0.0,,
AggregationQuerySuite_5,none,,,,,,,,,,
AggregationQuerySuite_6,ok,2.0,0.26,13.0,1.0,1.0,32.0,32.0,0.0,,
AggregationQuerySuite_7,none,,,,,,,,,,
AggregationQuerySuite_8,ok,2.0,1.05,5.0,1.0,1.0,6.0,6.0,0.0,,
AggregationQuerySuite_9,none,,,,,,,,,,
Basket_1,ok,2.0,0.06,2.0,1.0,1.0,1.0,1.0,0.0,,
Basket_2,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
Basket_3,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
Basket_4,ok,2.0,0.1,1.0,3.0,2.0,2.0,2.0,0.0,,
Chicago_1,ok,2.0,0.06,1.0,2.0,1.0,2.0,2.0,0.0,,
Chicago_2,ok,1.0,0.06,1.0,0.0,1.0,1.0,1.0,0.0,,
Chicago_3,ok,2.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,,
DurationMin_1,none,,,,,,,,,,
DurationMin_2,none,,,,,,,,,,
DurationMin_3,none,,,,,,,,,,
DurationMin_4,none,,,,,,,,,,
DurationMin_5,none,,,,,,,,,,
DurationMin_6,none,,,,,,,,,,
DurationMin_7,none,,,,,,,,,,
EventAggregationUdf_1,none,,,,,,,,,,
