benchmark,speedup
AggregationQuerySuite_1,60.47%
AggregationQuerySuite_2,58.70%
AggregationQuerySuite_3,59.14%
AggregationQuerySuite_4,99.21%
AggregationQuerySuite_5,59.95%
AggregationQuerySuite_6,61.17%
AggregationQuerySuite_7,60.90%
AggregationQuerySuite_8,58.28%
AggregationQuerySuite_9,61.58%
DurationMin_1,25.13%
DurationMin_2,34.96%
DurationMin_3,29.92%
DurationMin_4,31.49%
DurationMin_5,29.97%
DurationMin_6,29.35%
DurationMin_7,31.40%
EventAggregationUdf_1,52.37%
EventAggregationUdf_2,54.25%
EventAggregationUdf_3,53.18%
EventAggregationUdf_4,52.37%
EventAggregationUdf_5,53.59%
EventAggregationUdf_6,54.90%
EventAggregationUdf_7,51.57%
EventAggregationUdf_8,39.00%
EventAggregationUdf_9,40.87%
HighLowAggregator_1,24.22%
HighLowAggregator_2,28.58%
HighLowAggregator_3,31.19%
HighLowAggregator_4,30.81%
HighLowAggregator_5,30.62%
HighLowAggregator_6,27.23%
HighLowAggregator_7,29.88%
HighLowAggregator_8,28.95%
KeepRowWithMaxAge_1,94.77%
KeepRowWithMaxAge_2,62.59%
KeepRowWithMaxAge_3,62.79%
KeepRowWithMaxAge_4,62.41%
KeepRowWithMaxAge_5,58.47%
KeepRowWithMaxAge_6,62.84%
KeepRowWithMaxAge_7,61.32%
KeepRowWithMaxAge_8,63.39%
KeepRowWithMaxAge_9,59.83%
KeepRowWithMaxQuality_1,92.86%
KeepRowWithMaxQuality_2,52.07%
KeepRowWithMaxQuality_3,48.66%
KeepRowWithMaxQuality_4,51.95%
KeepRowWithMaxQuality_5,45.82%
KeepRowWithMaxQuality_6,50.38%
KeepRowWithMaxQuality_7,51.02%
KeepRowWithMaxQuality_8,51.14%
KeepRowWithMaxQuality_9,52.59%
MinPooling_1,54.09%
MinPooling_2,42.77%
MinPooling_3,46.45%
MinPooling_4,49.32%
MinPooling_5,46.99%
MinPooling_6,46.37%
MinPooling_7,44.54%
MyAvg_1,62.03%
MyAvg_2,65.06%
MyAvg_3,61.98%
MyAvg_4,66.34%
MyAvg_5,66.38%
PointAttributionScalaUdaf_1,61.78%
PointAttributionScalaUdaf_2,61.09%
PointAttributionScalaUdaf_3,61.50%
PointAttributionScalaUdaf_4,63.03%
PreprocCSVTable_1,73.97%
PreprocCSVTable_2,73.47%
PreprocCSVTable_3,75.96%
PreprocCSVTable_4,69.92%
ReturnPriceAggregator_1,44.97%
ReturnPriceAggregator_2,44.02%
ReturnPriceAggregator_3,45.55%
ReturnPriceAggregator_4,45.57%
ReturnPriceAggregator_5,43.49%
ReturnPriceAggregator_6,43.03%
ReturnPriceAggregator_7,44.68%
ReturnPriceAggregator_8,43.67%
ReturnPriceAggregator_9,44.56%
RoaringBitmapUDAF_1,66.58%
RoaringBitmapUDAF_2,68.11%
RoaringBitmapUDAF_3,65.95%
RoaringBitmapUDAF_4,67.40%
RoaringBitmapUDAF_5,65.90%
SnapshotAggregator_1,68.11%
SnapshotAggregator_2,67.54%
SnapshotAggregator_3,65.86%
SnapshotAggregator_4,65.09%
SnapshotAggregator_5,66.05%
SnapshotAggregator_6,67.31%
SparkDataFrameUDFApp_1,83.88%
SparkDataFrameUDFApp_2,83.50%
SparkDataFrameUDFApp_3,83.93%
SparkDataFrameUDFApp_4,84.10%
SparkDataFrameUDFApp_5,84.16%
SparkDataFrameUDFApp_6,83.92%
TPCHUDAF_1,82.13%
TPCHUDAF_2,82.35%
TPCHUDAF_3,84.38%
Top2_1,61.75%
Top2_2,62.88%
Top2_3,61.77%
Top2_4,62.14%
Top2_5,61.90%
Top2_6,62.07%
Top2_7,62.81%
Top2_8,62.56%
Top2_9,59.48%
UDAF2_1,72.46%
UDAF2_2,70.22%
UDAF2_3,71.12%
UDAF2_4,70.98%
UDAF2_5,75.77%
UDAF2_6,72.68%
UDAF_1,67.92%
UDAF_2,63.64%
UDAF_3,65.05%
UDAF_4,66.20%
UserDefinedAggregationFunctionTest_1,52.58%
UserDefinedAggregationFunctionTest_2,55.31%
UserDefinedAggregationFunctionTest_3,53.24%
UserDefinedAggregationFunctionTest_4,51.46%
20Nov_1,82.63%
20Nov_2,80.80%
20Nov_3,81.33%
20Nov_4,81.43%
Ada1_1,70.48%
Ada1_2,70.54%
Ada1_3,66.45%
Ada1_4,70.82%
Ada3_1,72.19%
Ada3_2,71.07%
Ada3_3,71.12%
Ada3_4,72.15%
Ada3_5,71.30%
Basket_1,52.77%
Basket_2,53.71%
Basket_3,53.20%
Basket_4,51.57%
Chicago_1,41.54%
Chicago_2,42.00%
Chicago_3,41.61%
Flaredown1_1,36.94%
Flaredown1_2,37.13%
Flaredown1_3,38.15%
Flaredown1_4,36.82%
Jdata_1,91.43%
Jdata_2,91.35%
Jdata_3,91.36%
