benchmark,status,kind,runtime,|Q*|,|P*|,|BI|,|P|,|DP|,num_pairs,magicpush_exact,magicpush_partial
20Nov_1,ok,3.0,1.07,1.0,1.0,26.0,3.0,2.0,3.0,,
20Nov_2,ok,1.0,0.26,1.0,0.0,8.0,1.0,1.0,2.0,,
20Nov_3,ok,1.0,0.27,1.0,0.0,8.0,1.0,1.0,2.0,,
20Nov_4,ok,1.0,0.72,1.0,0.0,24.0,2.0,2.0,2.0,,
Ada1_1,ok,3.0,32.29,1.0,3.0,24.0,4.0,2.0,73.0,,
Ada1_2,ok,2.0,6.85,1.0,2.0,16.0,2.0,0.0,27.0,,
Ada1_3,ok,3.0,71.85,1.0,5.0,24.0,5.0,2.0,142.0,,
Ada1_4,ok,3.0,41.12,1.0,4.0,32.0,4.0,2.0,77.0,,
Ada3_1,ok,2.0,19.56,1.0,4.0,7.0,4.0,0.0,71.0,,
Ada3_2,ok,2.0,24.04,1.0,4.0,9.0,4.0,0.0,75.0,,
Ada3_3,ok,2.0,24.1,1.0,4.0,9.0,4.0,0.0,75.0,,
Ada3_4,ok,2.0,27.91,1.0,4.0,11.0,4.0,0.0,75.0,,
Ada3_5,ok,2.0,27.89,1.0,4.0,11.0,4.0,0.0,75.0,,
AggregationQuerySuite_1,timeout,,,,,,,,,,
AggregationQuerySuite_2,timeout,,,,,,,,,,
AggregationQuerySuite_3,timeout,,,,,,,,,,
AggregationQuerySuite_4,ok,3.0,1.23,7.0,1.0,24.0,6.0,5.0,2.0,,
AggregationQuerySuite_5,timeout,,,,,,,,,,
AggregationQuerySuite_6,ok,3.0,11.44,13.0,16.0,40.0,32.0,16.0,17.0,,
AggregationQuerySuite_7,timeout,,,,,,,,,,
AggregationQuerySuite_8,timeout,,,,,,,,,,
AggregationQuerySuite_9,timeout,,,,,,,,,,
Basket_1,ok,1.0,0.7,2.0,0.0,8.0,1.0,1.0,6.0,,
Basket_2,ok,2.0,0.42,1.0,1.0,7.0,1.0,0.0,3.0,,
Basket_3,ok,1.0,0.26,1.0,0.0,8.0,1.0,1.0,2.0,,
Basket_4,ok,3.0,0.71,1.0,2.0,13.0,2.0,1.0,3.0,,
Chicago_1,ok,2.0,1.03,1.0,2.0,9.0,2.0,2.0,6.0,,
Chicago_2,ok,1.0,0.33,1.0,0.0,9.0,1.0,0.0,2.0,,
Chicago_3,ok,2.0,0.29,1.0,1.0,9.0,1.0,0.0,2.0,,
DurationMin_1,ok,3.0,364.35,2.0,3.0,24.0,4.0,1.0,520.0,,
DurationMin_2,timeout,,,,,,,,,,
DurationMin_3,timeout,,,,,,,,,,
DurationMin_4,ok,3.0,570.31,2.0,3.0,42.0,6.0,3.0,522.0,,
DurationMin_5,timeout,,,,,,,,,,
DurationMin_6,timeout,,,,,,,,,,
DurationMin_7,timeout,,,,,,,,,,
EventAggregationUdf_1,timeout,,,,,,,,,,
EventAggregationUdf_2,timeout,,,,,,,,,,
EventAggregationUdf_3,timeout,,,,,,,,,,
EventAggregationUdf_4,timeout,,,,,,,,,,
EventAggregationUdf_5,timeout,,,,,,,,,,
EventAggregationUdf_6,timeout,,,,,,,,,,
EventAggregationUdf_7,timeout,,,,,,,,,,
EventAggregationUdf_8,timeout,,,,,,,,,,
EventAggregationUdf_9,timeout,,,,,,,,,,
Flaredown1_1,ok,1.0,0.33,1.0,0.0,9.0,1.0,0.0,2.0,,
Flaredown1_2,ok,2.0,1.04,1.0,2.0,9.0,2.0,2.0,6.0,,
Flaredown1_3,ok,2.0,0.3,1.0,1.0,9.0,1.0,0.0,2.0,,
Flaredown1_4,ok,2.0,0.3,1.0,1.0,9.0,1.0,0.0,2.0,,
HighLowAggregator_1,timeout,,,,,,,,,,
HighLowAggregator_2,ok,2.0,17.5,3.0,16.0,29.0,16.0,0.0,41.0,,
HighLowAggregator_3,timeout,,,,,,,,,,
HighLowAggregator_4,timeout,,,,,,,,,,
HighLowAggregator_5,timeout,,,,,,,,,,
HighLowAggregator_6,timeout,,,,,,,,,,
HighLowAggregator_7,timeout,,,,,,,,,,
HighLowAggregator_8,timeout,,,,,,,,,,
